City_ID,City,Country,Max Temp,Current Description,Latitudes,Longitudes,Hotel Name
0,Hilo,US,76.73,heavy intensity rain,19.7297,-155.09,Hilo Hawaiian Hotel
2,Qaqortoq,GL,25.3,overcast clouds,60.7167,-46.0333,Siniffik Inn
3,Rikitea,PF,76.5,overcast clouds,-23.1203,-134.9692,People ThankYou
4,Hermanus,ZA,60.91,light rain,-34.4187,19.2345,Misty Waves Boutique Hotel
5,Poum,NC,81.05,few clouds,-20.2333,164.0167,Gîte kajeon
7,Bluff,NZ,54.81,broken clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
8,Atuona,PF,78.46,clear sky,-9.8,-139.0333,Villa Enata
9,Lubango,AO,61.38,scattered clouds,-14.9172,13.4925,Hotel Serra da Chela
10,South Venice,US,75.0,scattered clouds,27.0531,-82.4243,"Island Sun Inn & Suites - Venice, Florida Historic Downtown & Beach Getaway"
11,Lakatoro,VU,83.64,few clouds,-16.0999,167.4164,Lakatoro Palm Lodge
12,Cockburn Town,TC,80.62,broken clouds,21.4612,-71.1419,Osprey Beach Hotel
13,Lebu,CL,61.21,clear sky,-37.6167,-73.65,Hostal Las Lilas
14,Arraial Do Cabo,BR,75.16,few clouds,-22.9661,-42.0278,Pousada Porto Praia
15,Quatre Cocos,MU,78.1,scattered clouds,-20.2078,57.7625,Sunrise Attitude Hotel
16,Kavieng,PG,82.63,moderate rain,-2.5744,150.7967,Nusa Island Retreat
17,Nishihara,JP,69.08,scattered clouds,26.1842,127.7558,Minshuku Agaihama
18,Port Blair,IN,78.39,few clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
19,Almeirim,BR,77.4,moderate rain,-1.5233,-52.5817,Ricácio Hotel
21,Ushuaia,AR,47.86,scattered clouds,-54.8,-68.3,Albatros Hotel
23,Castro,BR,63.46,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
24,Busselton,AU,62.04,broken clouds,-33.65,115.3333,Observatory Guest House
25,Mahebourg,MU,78.26,few clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
