City_ID,City,Country,Latitudes,Longitudes,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
0,Hilo,US,19.7297,-155.09,76.73,91,90,17.27,heavy intensity rain,5.06,0.0
1,Ostrovnoy,RU,68.0531,39.5131,9.59,73,83,23.38,broken clouds,0.0,0.0
2,Qaqortoq,GL,60.7167,-46.0333,25.3,68,100,23.62,overcast clouds,0.0,0.0
3,Rikitea,PF,-23.1203,-134.9692,76.5,74,99,8.61,overcast clouds,0.0,0.0
4,Hermanus,ZA,-34.4187,19.2345,60.91,94,100,10.36,light rain,0.52,0.0
5,Poum,NC,-20.2333,164.0167,81.05,74,15,10.74,few clouds,0.0,0.0
6,Thompson,CA,55.7435,-97.8558,-18.24,69,1,9.22,clear sky,0.0,0.0
7,Bluff,NZ,-46.6,168.3333,54.81,50,59,14.12,broken clouds,0.0,0.0
8,Atuona,PF,-9.8,-139.0333,78.46,76,5,18.14,clear sky,0.0,0.0
9,Lubango,AO,-14.9172,13.4925,61.38,76,32,1.95,scattered clouds,0.0,0.0
10,South Venice,US,27.0531,-82.4243,75.0,69,40,6.91,scattered clouds,0.0,0.0
11,Lakatoro,VU,-16.0999,167.4164,83.64,70,20,7.61,few clouds,0.0,0.0
12,Cockburn Town,TC,21.4612,-71.1419,80.62,77,67,21.63,broken clouds,0.0,0.0
13,Lebu,CL,-37.6167,-73.65,61.21,74,0,14.38,clear sky,0.0,0.0
14,Arraial Do Cabo,BR,-22.9661,-42.0278,75.16,88,20,16.11,few clouds,0.0,0.0
15,Quatre Cocos,MU,-20.2078,57.7625,78.1,71,28,11.77,scattered clouds,0.0,0.0
16,Kavieng,PG,-2.5744,150.7967,82.63,79,95,7.31,moderate rain,2.52,0.0
17,Nishihara,JP,26.1842,127.7558,69.08,64,40,14.97,scattered clouds,0.0,0.0
18,Port Blair,IN,11.6667,92.75,78.39,70,24,11.43,few clouds,0.0,0.0
19,Almeirim,BR,-1.5233,-52.5817,77.4,85,93,3.24,moderate rain,3.16,0.0
20,Pangnirtung,CA,66.1451,-65.7125,7.74,97,100,6.91,light snow,0.0,0.23
21,Ushuaia,AR,-54.8,-68.3,47.86,53,40,25.32,scattered clouds,0.0,0.0
22,Albany,US,42.6001,-73.9662,37.58,61,97,4.61,overcast clouds,0.0,0.0
23,Castro,BR,-24.7911,-50.0119,63.46,90,88,3.58,overcast clouds,0.0,0.0
24,Busselton,AU,-33.65,115.3333,62.04,67,58,17.4,broken clouds,0.0,0.0
25,Mahebourg,MU,-20.4081,57.7,78.26,72,24,11.21,few clouds,0.0,0.0
26,Vaini,TO,-21.2,-175.2,84.36,84,40,11.5,scattered clouds,0.0,0.0
27,Bethel,US,41.3712,-73.414,43.65,54,75,4.61,broken clouds,0.0,0.0
28,Locri,IT,38.2414,16.2623,58.15,84,29,5.91,scattered clouds,0.0,0.0
29,Nikolskoye,RU,59.7035,30.7861,-0.6,97,8,4.56,clear sky,0.0,0.0
30,Vestmannaeyjar,IS,63.4427,-20.2734,44.76,77,100,19.22,overcast clouds,0.0,0.0
31,Sao Lourenco Do Sul,BR,-31.3653,-51.9783,68.9,80,70,10.67,broken clouds,0.0,0.0
32,Karratha,AU,-20.7377,116.8463,87.13,31,30,15.86,scattered clouds,0.0,0.0
33,Umm Kaddadah,SD,13.6017,26.6876,69.98,16,36,13.18,scattered clouds,0.0,0.0
34,Nyrob,RU,60.733,56.7202,-15.3,100,86,1.54,overcast clouds,0.0,0.0
35,Bom Jesus,BR,-9.0744,-44.3586,74.12,85,26,2.15,scattered clouds,0.0,0.0
36,Bogovarovo,RU,58.9785,47.0246,-6.52,100,15,2.68,few clouds,0.0,0.0
37,Kodiak,US,57.79,-152.4072,31.51,80,90,0.0,overcast clouds,0.0,0.0
38,Longyearbyen,SJ,78.2186,15.6401,15.64,73,75,11.5,broken clouds,0.0,0.0
39,North Bend,US,43.4065,-124.2243,53.51,86,1,3.44,clear sky,0.0,0.0
40,Yellowknife,CA,62.456,-114.3525,-20.58,85,20,2.3,few clouds,0.0,0.0
41,Tiksi,RU,71.6872,128.8694,-16.01,95,100,6.11,overcast clouds,0.0,0.0
42,Mataura,NZ,-46.1927,168.8643,54.48,47,92,5.06,overcast clouds,0.0,0.0
43,Dikson,RU,73.5069,80.5464,-2.0,94,100,9.86,overcast clouds,0.0,0.0
44,Punta Arenas,CL,-53.15,-70.9167,53.71,43,20,18.41,few clouds,0.0,0.0
45,Olafsvik,IS,64.8945,-23.7142,41.23,90,100,7.11,overcast clouds,0.0,0.0
46,Tura,IN,25.5198,90.2201,66.34,81,100,2.53,overcast clouds,0.0,0.0
47,Nemuro,JP,43.3236,145.575,38.12,73,3,15.3,clear sky,0.0,0.0
48,Katsuura,JP,35.1333,140.3,50.18,74,100,8.63,overcast clouds,0.0,0.0
49,Husavik,IS,66.0449,-17.3389,40.91,73,100,27.47,moderate rain,3.16,0.0
50,Dubrovka,RU,53.6907,33.5071,24.78,94,99,5.46,overcast clouds,0.0,0.0
51,Lavrentiya,RU,65.5833,-171.0,29.25,96,100,19.08,snow,0.0,0.62
52,Garoua Boulai,CM,5.8833,14.55,70.93,42,97,3.69,overcast clouds,0.0,0.0
53,Marsh Harbour,BS,26.5412,-77.0636,76.66,77,4,15.03,clear sky,0.0,0.0
54,Abu Kamal,SY,34.4506,40.9171,52.79,43,9,6.82,clear sky,0.0,0.0
55,Beloha,MG,-25.1667,45.05,72.3,94,2,4.32,clear sky,0.0,0.0
56,Ekhabi,RU,53.5102,142.9671,6.78,96,86,5.17,overcast clouds,0.0,0.0
57,Pevek,RU,69.7008,170.3133,-9.47,96,100,17.13,light snow,0.0,0.12
58,Eirunepe,BR,-6.6603,-69.8736,72.12,100,100,0.83,overcast clouds,0.0,0.0
59,Kapaa,US,22.0752,-159.319,79.12,68,40,3.0,scattered clouds,0.0,0.0
60,Yar-Sale,RU,66.8333,70.8333,-15.39,91,32,14.45,scattered clouds,0.0,0.0
61,Malyn,UA,50.7723,29.2383,28.31,98,100,7.96,light snow,0.0,0.3
62,Hami,CN,42.8,93.45,29.12,52,99,5.37,overcast clouds,0.0,0.0
63,Takhtamygda,RU,54.1,123.5667,4.48,95,97,1.63,overcast clouds,0.0,0.0
64,Kyra,RU,49.5776,111.9753,8.31,91,17,3.29,few clouds,0.0,0.0
65,Antofagasta,CL,-23.65,-70.4,63.68,72,49,4.63,scattered clouds,0.0,0.0
66,Kaeo,NZ,-35.1,173.7833,77.32,77,41,8.61,scattered clouds,0.0,0.0
67,Puri,IN,19.8,85.85,72.37,89,100,9.91,overcast clouds,0.0,0.0
68,Mbandaka,CD,0.0487,18.2603,72.41,93,100,0.69,overcast clouds,0.0,0.0
69,Saskylakh,RU,71.9167,114.0833,-30.32,98,100,4.5,overcast clouds,0.0,0.0
70,Kondoa,TZ,-4.9,35.7833,61.72,87,75,4.68,broken clouds,0.0,0.0
71,Ulladulla,AU,-35.35,150.4667,67.08,59,100,4.25,overcast clouds,0.0,0.0
72,Avarua,CK,-21.2078,-159.775,82.45,78,20,8.05,moderate rain,1.05,0.0
73,Deputatskiy,RU,69.3,139.9,-24.68,97,100,2.91,overcast clouds,0.0,0.0
74,Srednekolymsk,RU,67.45,153.6833,-48.75,100,73,4.61,broken clouds,0.0,0.0
75,Gamba,GA,-2.65,10.0,78.66,88,100,4.74,light rain,0.52,0.0
76,Jamestown,US,42.097,-79.2353,44.33,37,90,13.0,overcast clouds,0.0,0.0
77,Toba,JP,34.4833,136.85,50.0,94,100,12.8,overcast clouds,0.0,0.0
78,Aguas Formosas,BR,-17.0822,-40.9358,70.14,94,32,3.29,scattered clouds,0.0,0.0
79,Casper,US,42.8666,-106.3131,19.72,81,90,7.0,light snow,0.0,0.42
80,Isangel,VU,-19.55,169.2667,84.31,74,75,5.75,broken clouds,0.0,0.0
81,Norman Wells,CA,65.282,-126.8329,-11.74,81,72,4.74,broken clouds,0.0,0.0
82,Cape Town,ZA,-33.9258,18.4232,61.27,90,75,1.99,moderate rain,1.52,0.0
83,Qaanaaq,GL,77.484,-69.3632,20.52,81,100,6.4,overcast clouds,0.0,0.0
84,Rio Esteban,HN,15.8333,-86.3,80.6,85,41,1.86,scattered clouds,0.0,0.0
85,Fonte Boa,BR,-2.4959,-66.2662,75.43,97,93,0.34,overcast clouds,0.0,0.0
86,Oskarshamn,SE,57.2645,16.4484,30.79,74,99,8.63,overcast clouds,0.0,0.0
87,Beringovskiy,RU,63.05,179.3167,6.84,81,100,35.99,overcast clouds,0.0,0.0
88,Cherskiy,RU,68.75,161.3,-46.23,100,86,4.12,overcast clouds,0.0,0.0
89,Upernavik,GL,72.7868,-56.1549,25.09,74,100,3.29,overcast clouds,0.0,0.0
90,Zhigansk,RU,66.7697,123.3711,-28.28,95,100,6.62,overcast clouds,0.0,0.0
91,Am Timan,TD,11.0297,20.2827,78.24,25,83,7.16,broken clouds,0.0,0.0
92,Erenhot,CN,43.6475,111.9767,21.09,81,3,2.21,clear sky,0.0,0.0
93,Porto Murtinho,BR,-21.6989,-57.8825,85.06,47,92,3.71,overcast clouds,0.0,0.0
94,Chipinge,ZW,-20.1883,32.6236,65.01,86,27,6.64,scattered clouds,0.0,0.0
95,Tuatapere,NZ,-46.1333,167.6833,54.82,51,84,6.85,broken clouds,0.0,0.0
96,East London,ZA,-33.0153,27.9116,68.79,94,100,4.61,overcast clouds,0.0,0.0
97,Palmas De Monte Alto,BR,-14.2672,-43.1619,72.88,79,53,3.62,broken clouds,0.0,0.0
98,San Antonio,US,29.4241,-98.4936,78.82,75,1,8.05,clear sky,0.0,0.0
